sample	variable	value	description
296	whole_tree_age	17.1445	whole_tree_age
296	island_ori_age	5.74389	island_origin_age
296	island_ori_region	3	island_origin_region
296	rho_d_2	0.025	base_dispersal_rate
296	rho_e_2	0.025	base_extinction_rate
296	rho_w_2	0.025	base_w_speciation_rate
296	rho_b_2	0.15	base_b_speciation_rate
296	sigma_d_1	-1	long-distance?
296	sigma_e_1	0	high-island?
296	sigma_w_1	0	high-island?
296	sigma_b_1	1	long-distance?
296	sigma_d_2	0	old-to-young?
296	sigma_e_2	0	net-growth?
296	sigma_w_2	0	net-growth?
296	sigma_b_2	0	old-to-young?
296	phi_d_1	0	distance
296	phi_e_1	0	elevation
296	phi_w_1	1	elevation
296	phi_b_1	1	distance
296	phi_d_2	1	age-diff
296	phi_e_2	1	age
296	phi_w_2	0	age
296	phi_b_2	-1	age-diff
