sample	variable	value	description
49	whole_tree_age	30.7278	whole_tree_age
49	island_ori_age	16.9163	island_origin_age
49	island_ori_region	1	island_origin_region
49	rho_d_2	0.05	base_dispersal_rate
49	rho_e_2	0.05	base_extinction_rate
49	rho_w_2	0.05	base_w_speciation_rate
49	rho_b_2	0.25	base_b_speciation_rate
49	sigma_d_1	0	long-distance?
49	sigma_e_1	-1.5	high-island?
49	sigma_w_1	0	high-island?
49	sigma_b_1	1.5	long-distance?
49	sigma_d_2	1.5	old-to-young?
49	sigma_e_2	0	net-growth?
49	sigma_w_2	0	net-growth?
49	sigma_b_2	-1.5	old-to-young?
49	phi_d_1	-0.5	distance
49	phi_e_1	-1	elevation
49	phi_w_1	0.5	elevation
49	phi_b_1	0	distance
49	phi_d_2	0	age-diff
49	phi_e_2	1	age
49	phi_w_2	0	age
49	phi_b_2	0	age-diff
