nd337	6
nd338	6
nd284	6
nd311	6
nd312	6
nd345	6
nd346	6
nd280	6
nd329	2
nd330	2
nd343	16
nd344	3
nd328	20
nd341	3
nd375	3
nd376	3
nd288	12
nd333	2
nd334	2
nd353	2
nd354	12
nd331	16
nd332	4
nd318	4
nd367	4
nd368	16
nd363	3
nd364	3
nd307	3
nd308	3
nd305	2
nd365	37
nd340	2
nd271	2
nd349	3
nd350	3
nd316	3
nd293	16
nd371	3
nd372	37
nd370	4
nd362	4
nd300	4
nd303	2
nd304	2
nd360	2
nd355	12
nd319	3
nd357	21
nd358	4
nd322	77
nd298	3
nd351	3
nd352	3
nd348	16
nd373	2
nd374	12
nd314	3
nd263	2
nd264	12
outgroup	6
