sample	variable	value	description
339	whole_tree_age	29.8318	whole_tree_age
339	island_ori_age	4.69133	island_origin_age
339	island_ori_region	3	island_origin_region
339	rho_d_2	0.05	base_dispersal_rate
339	rho_e_2	0.05	base_extinction_rate
339	rho_w_2	0.05	base_w_speciation_rate
339	rho_b_2	0.25	base_b_speciation_rate
339	sigma_d_1	-1.5	long-distance?
339	sigma_e_1	-1.5	high-island?
339	sigma_w_1	0	high-island?
339	sigma_b_1	0	long-distance?
339	sigma_d_2	0	old-to-young?
339	sigma_e_2	0	net-growth?
339	sigma_w_2	-1.5	net-growth?
339	sigma_b_2	0	old-to-young?
339	phi_d_1	-0.5	distance
339	phi_e_1	-1	elevation
339	phi_w_1	0	elevation
339	phi_b_1	0	distance
339	phi_d_2	0	age-diff
339	phi_e_2	0	age
339	phi_w_2	-0.5	age
339	phi_b_2	0	age-diff
