sample	variable	value	description
330	whole_tree_age	23.8585	whole_tree_age
330	island_ori_age	13.0787	island_origin_age
330	island_ori_region	1	island_origin_region
330	rho_d_2	0.025	base_dispersal_rate
330	rho_e_2	0.025	base_extinction_rate
330	rho_w_2	0.025	base_w_speciation_rate
330	rho_b_2	0.15	base_b_speciation_rate
330	sigma_d_1	0	long-distance?
330	sigma_e_1	-1	high-island?
330	sigma_w_1	0	high-island?
330	sigma_b_1	1	long-distance?
330	sigma_d_2	0	old-to-young?
330	sigma_e_2	1	net-growth?
330	sigma_w_2	0	net-growth?
330	sigma_b_2	-1	old-to-young?
330	phi_d_1	-1	distance
330	phi_e_1	-1	elevation
330	phi_w_1	1	elevation
330	phi_b_1	1	distance
330	phi_d_2	1	age-diff
330	phi_e_2	0	age
330	phi_w_2	0	age
330	phi_b_2	-1	age-diff
