sample	variable	value	description
198	whole_tree_age	19.8096	whole_tree_age
198	island_ori_age	12.4971	island_origin_age
198	island_ori_region	1	island_origin_region
198	rho_d_2	0.05	base_dispersal_rate
198	rho_e_2	0.05	base_extinction_rate
198	rho_w_2	0.05	base_w_speciation_rate
198	rho_b_2	0.25	base_b_speciation_rate
198	sigma_d_1	-1.5	long-distance?
198	sigma_e_1	-1.5	high-island?
198	sigma_w_1	1.5	high-island?
198	sigma_b_1	1.5	long-distance?
198	sigma_d_2	0	old-to-young?
198	sigma_e_2	1.5	net-growth?
198	sigma_w_2	0	net-growth?
198	sigma_b_2	-1.5	old-to-young?
198	phi_d_1	0	distance
198	phi_e_1	0	elevation
198	phi_w_1	0	elevation
198	phi_b_1	1	distance
198	phi_d_2	0.5	age-diff
198	phi_e_2	1	age
198	phi_w_2	-0.5	age
198	phi_b_2	0	age-diff
