sample	variable	value	description
310	whole_tree_age	30.6339	whole_tree_age
310	island_ori_age	16.6125	island_origin_age
310	island_ori_region	1	island_origin_region
310	rho_d_2	0.05	base_dispersal_rate
310	rho_e_2	0.05	base_extinction_rate
310	rho_w_2	0.05	base_w_speciation_rate
310	rho_b_2	0.2	base_b_speciation_rate
310	sigma_d_1	-1	long-distance?
310	sigma_e_1	-1	high-island?
310	sigma_w_1	0	high-island?
310	sigma_b_1	0	long-distance?
310	sigma_d_2	0	old-to-young?
310	sigma_e_2	0	net-growth?
310	sigma_w_2	0	net-growth?
310	sigma_b_2	1	old-to-young?
310	phi_d_1	0	distance
310	phi_e_1	0	elevation
310	phi_w_1	0	elevation
310	phi_b_1	0	distance
310	phi_d_2	-1	age-diff
310	phi_e_2	1	age
310	phi_w_2	0	age
310	phi_b_2	1	age-diff
