sample	variable	value	description
193	whole_tree_age	25.7047	whole_tree_age
193	island_ori_age	17.8299	island_origin_age
193	island_ori_region	1	island_origin_region
193	rho_d_2	0.025	base_dispersal_rate
193	rho_e_2	0.025	base_extinction_rate
193	rho_w_2	0.025	base_w_speciation_rate
193	rho_b_2	0.15	base_b_speciation_rate
193	sigma_d_1	0	long-distance?
193	sigma_e_1	0	high-island?
193	sigma_w_1	0	high-island?
193	sigma_b_1	0	long-distance?
193	sigma_d_2	1	old-to-young?
193	sigma_e_2	0	net-growth?
193	sigma_w_2	0	net-growth?
193	sigma_b_2	-1	old-to-young?
193	phi_d_1	0	distance
193	phi_e_1	-1	elevation
193	phi_w_1	1	elevation
193	phi_b_1	1	distance
193	phi_d_2	1	age-diff
193	phi_e_2	0	age
193	phi_w_2	-1	age
193	phi_b_2	0	age-diff
