sample	variable	value	description
173	whole_tree_age	13.9878	whole_tree_age
173	island_ori_age	1.67823	island_origin_age
173	island_ori_region	5	island_origin_region
173	rho_d_2	0.025	base_dispersal_rate
173	rho_e_2	0.025	base_extinction_rate
173	rho_w_2	0.025	base_w_speciation_rate
173	rho_b_2	0.15	base_b_speciation_rate
173	sigma_d_1	0	long-distance?
173	sigma_e_1	0	high-island?
173	sigma_w_1	0	high-island?
173	sigma_b_1	1	long-distance?
173	sigma_d_2	0	old-to-young?
173	sigma_e_2	0	net-growth?
173	sigma_w_2	-1	net-growth?
173	sigma_b_2	-1	old-to-young?
173	phi_d_1	0	distance
173	phi_e_1	-1	elevation
173	phi_w_1	1	elevation
173	phi_b_1	1	distance
173	phi_d_2	0	age-diff
173	phi_e_2	1	age
173	phi_w_2	0	age
173	phi_b_2	0	age-diff
