sample	variable	value	description
239	whole_tree_age	19.3127	whole_tree_age
239	island_ori_age	8.48782	island_origin_age
239	island_ori_region	2	island_origin_region
239	rho_d_2	0.05	base_dispersal_rate
239	rho_e_2	0.05	base_extinction_rate
239	rho_w_2	0.05	base_w_speciation_rate
239	rho_b_2	0.25	base_b_speciation_rate
239	sigma_d_1	0	long-distance?
239	sigma_e_1	-1.5	high-island?
239	sigma_w_1	0	high-island?
239	sigma_b_1	1.5	long-distance?
239	sigma_d_2	1.5	old-to-young?
239	sigma_e_2	1.5	net-growth?
239	sigma_w_2	0	net-growth?
239	sigma_b_2	0	old-to-young?
239	phi_d_1	-0.5	distance
239	phi_e_1	0	elevation
239	phi_w_1	0.5	elevation
239	phi_b_1	1	distance
239	phi_d_2	0	age-diff
239	phi_e_2	1	age
239	phi_w_2	-0.5	age
239	phi_b_2	-1	age-diff
