sample	variable	value	description
216	whole_tree_age	21.2021	whole_tree_age
216	island_ori_age	19.8602	island_origin_age
216	island_ori_region	1	island_origin_region
216	rho_d_2	0.025	base_dispersal_rate
216	rho_e_2	0.025	base_extinction_rate
216	rho_w_2	0.025	base_w_speciation_rate
216	rho_b_2	0.15	base_b_speciation_rate
216	sigma_d_1	0	long-distance?
216	sigma_e_1	-1	high-island?
216	sigma_w_1	1	high-island?
216	sigma_b_1	1	long-distance?
216	sigma_d_2	0	old-to-young?
216	sigma_e_2	0	net-growth?
216	sigma_w_2	-1	net-growth?
216	sigma_b_2	0	old-to-young?
216	phi_d_1	0	distance
216	phi_e_1	-1	elevation
216	phi_w_1	1	elevation
216	phi_b_1	0	distance
216	phi_d_2	1	age-diff
216	phi_e_2	0	age
216	phi_w_2	0	age
216	phi_b_2	-1	age-diff
