sample	variable	value	description
313	whole_tree_age	9.44356	whole_tree_age
313	island_ori_age	4.14145	island_origin_age
313	island_ori_region	1	island_origin_region
313	rho_d_2	0.05	base_dispersal_rate
313	rho_e_2	0.05	base_extinction_rate
313	rho_w_2	0.05	base_w_speciation_rate
313	rho_b_2	0.25	base_b_speciation_rate
313	sigma_d_1	0	long-distance?
313	sigma_e_1	-1.5	high-island?
313	sigma_w_1	0	high-island?
313	sigma_b_1	0	long-distance?
313	sigma_d_2	1.5	old-to-young?
313	sigma_e_2	0	net-growth?
313	sigma_w_2	0	net-growth?
313	sigma_b_2	0	old-to-young?
313	phi_d_1	0	distance
313	phi_e_1	-1	elevation
313	phi_w_1	0.5	elevation
313	phi_b_1	1	distance
313	phi_d_2	0	age-diff
313	phi_e_2	1	age
313	phi_w_2	0	age
313	phi_b_2	-1	age-diff
