sample	variable	value	description
83	whole_tree_age	1.70613	whole_tree_age
83	island_ori_age	1.078	island_origin_age
83	island_ori_region	4	island_origin_region
83	rho_d_2	0.025	base_dispersal_rate
83	rho_e_2	0.025	base_extinction_rate
83	rho_w_2	0.025	base_w_speciation_rate
83	rho_b_2	0.15	base_b_speciation_rate
83	sigma_d_1	-1	long-distance?
83	sigma_e_1	-1	high-island?
83	sigma_w_1	0	high-island?
83	sigma_b_1	1	long-distance?
83	sigma_d_2	0	old-to-young?
83	sigma_e_2	1	net-growth?
83	sigma_w_2	-1	net-growth?
83	sigma_b_2	0	old-to-young?
83	phi_d_1	0	distance
83	phi_e_1	0	elevation
83	phi_w_1	1	elevation
83	phi_b_1	0	distance
83	phi_d_2	0	age-diff
83	phi_e_2	0	age
83	phi_w_2	0	age
83	phi_b_2	-1	age-diff
