sample	variable	value	description
85	whole_tree_age	21.5154	whole_tree_age
85	island_ori_age	19.1891	island_origin_age
85	island_ori_region	1	island_origin_region
85	rho_d_2	0.05	base_dispersal_rate
85	rho_e_2	0.05	base_extinction_rate
85	rho_w_2	0.05	base_w_speciation_rate
85	rho_b_2	0.25	base_b_speciation_rate
85	sigma_d_1	0	long-distance?
85	sigma_e_1	0	high-island?
85	sigma_w_1	1.5	high-island?
85	sigma_b_1	0	long-distance?
85	sigma_d_2	1.5	old-to-young?
85	sigma_e_2	1.5	net-growth?
85	sigma_w_2	-1.5	net-growth?
85	sigma_b_2	0	old-to-young?
85	phi_d_1	0	distance
85	phi_e_1	0	elevation
85	phi_w_1	0	elevation
85	phi_b_1	0	distance
85	phi_d_2	0	age-diff
85	phi_e_2	1	age
85	phi_w_2	-0.5	age
85	phi_b_2	0	age-diff
