sample	variable	value	description
220	whole_tree_age	14.3035	whole_tree_age
220	island_ori_age	12.8402	island_origin_age
220	island_ori_region	1	island_origin_region
220	rho_d_2	0.05	base_dispersal_rate
220	rho_e_2	0.05	base_extinction_rate
220	rho_w_2	0.05	base_w_speciation_rate
220	rho_b_2	0.25	base_b_speciation_rate
220	sigma_d_1	0	long-distance?
220	sigma_e_1	0	high-island?
220	sigma_w_1	1.5	high-island?
220	sigma_b_1	1.5	long-distance?
220	sigma_d_2	0	old-to-young?
220	sigma_e_2	1.5	net-growth?
220	sigma_w_2	-1.5	net-growth?
220	sigma_b_2	0	old-to-young?
220	phi_d_1	-0.5	distance
220	phi_e_1	-1	elevation
220	phi_w_1	0.5	elevation
220	phi_b_1	0	distance
220	phi_d_2	0.5	age-diff
220	phi_e_2	1	age
220	phi_w_2	0	age
220	phi_b_2	0	age-diff
