sample	variable	value	description
342	whole_tree_age	20.126	whole_tree_age
342	island_ori_age	17.9912	island_origin_age
342	island_ori_region	1	island_origin_region
342	rho_d_2	0.025	base_dispersal_rate
342	rho_e_2	0.025	base_extinction_rate
342	rho_w_2	0.025	base_w_speciation_rate
342	rho_b_2	0.15	base_b_speciation_rate
342	sigma_d_1	-1	long-distance?
342	sigma_e_1	-1	high-island?
342	sigma_w_1	0	high-island?
342	sigma_b_1	1	long-distance?
342	sigma_d_2	1	old-to-young?
342	sigma_e_2	0	net-growth?
342	sigma_w_2	-1	net-growth?
342	sigma_b_2	-1	old-to-young?
342	phi_d_1	0	distance
342	phi_e_1	0	elevation
342	phi_w_1	1	elevation
342	phi_b_1	1	distance
342	phi_d_2	0	age-diff
342	phi_e_2	1	age
342	phi_w_2	-1	age
342	phi_b_2	-1	age-diff
