sample	variable	value	description
57	whole_tree_age	19.6626	whole_tree_age
57	island_ori_age	13.4733	island_origin_age
57	island_ori_region	1	island_origin_region
57	rho_d_2	0.05	base_dispersal_rate
57	rho_e_2	0.05	base_extinction_rate
57	rho_w_2	0.05	base_w_speciation_rate
57	rho_b_2	0.25	base_b_speciation_rate
57	sigma_d_1	0	long-distance?
57	sigma_e_1	0	high-island?
57	sigma_w_1	0	high-island?
57	sigma_b_1	0	long-distance?
57	sigma_d_2	0	old-to-young?
57	sigma_e_2	1.5	net-growth?
57	sigma_w_2	0	net-growth?
57	sigma_b_2	-1.5	old-to-young?
57	phi_d_1	-0.5	distance
57	phi_e_1	0	elevation
57	phi_w_1	0.5	elevation
57	phi_b_1	0	distance
57	phi_d_2	0.5	age-diff
57	phi_e_2	0	age
57	phi_w_2	-0.5	age
57	phi_b_2	0	age-diff
