sample	variable	value	description
154	whole_tree_age	15.2235	whole_tree_age
154	island_ori_age	5.67006	island_origin_age
154	island_ori_region	2	island_origin_region
154	rho_d_2	0.05	base_dispersal_rate
154	rho_e_2	0.05	base_extinction_rate
154	rho_w_2	0.05	base_w_speciation_rate
154	rho_b_2	0.2	base_b_speciation_rate
154	sigma_d_1	0	long-distance?
154	sigma_e_1	0	high-island?
154	sigma_w_1	0	high-island?
154	sigma_b_1	0	long-distance?
154	sigma_d_2	1	old-to-young?
154	sigma_e_2	0	net-growth?
154	sigma_w_2	-1	net-growth?
154	sigma_b_2	1	old-to-young?
154	phi_d_1	0	distance
154	phi_e_1	0	elevation
154	phi_w_1	0	elevation
154	phi_b_1	0	distance
154	phi_d_2	0	age-diff
154	phi_e_2	0	age
154	phi_w_2	0	age
154	phi_b_2	1	age-diff
