nd188	3
nd189	3
nd152	3
nd153	3
nd112	3
nd246	3
nd247	3
nd178	3
nd370	3
nd371	0
nd192	3
nd368	4
nd369	4
nd349	40
nd296	3
nd374	4
nd386	4
nd387	4
nd339	13
nd382	4
nd383	4
nd373	4
nd353	4
nd362	4
nd363	4
nd384	4
nd385	4
nd336	4
nd342	4
nd354	15
nd388	4
nd389	4
nd365	4
nd347	4
nd350	30
nd378	4
nd379	4
nd223	3
nd203	3
nd302	15
nd303	3
nd281	10
nd340	3
nd341	4
nd211	3
nd286	15
nd287	3
nd238	3
nd239	3
nd298	3
nd380	3
nd381	3
nd96	3
nd97	1
nd186	9
nd187	3
nd318	3
nd231	9
nd260	3
nd261	3
nd326	3
nd327	3
nd52	3
nd232	3
nd233	3
nd184	1
nd17	3
nd308	3
nd170	3
nd300	2
nd310	3
nd90	3
nd200	3
nd201	3
nd182	3
nd344	3
nd345	3
nd154	19
nd216	43
nd266	3
nd267	3
nd225	3
nd106	3
nd197	3
nd322	3
nd143	20
nd278	3
nd279	3
nd121	3
nd214	3
nd289	3
nd156	3
nd284	3
nd103	3
nd324	3
nd325	3
nd137	3
nd334	3
nd158	3
nd274	15
nd276	3
nd277	3
nd81	3
nd254	3
nd255	34
nd241	3
nd376	19
nd377	3
nd234	3
nd321	3
nd199	3
nd100	3
nd101	19
nd358	3
nd359	3
nd128	3
nd290	3
nd291	3
nd63	10
nd356	5
nd357	5
nd248	3
nd249	3
nd109	3
nd292	3
nd293	10
nd256	17
nd257	3
nd161	40
nd294	15
nd295	3
nd236	19
nd304	3
nd305	3
nd146	3
nd268	3
nd269	3
nd221	3
nd270	3
nd271	3
nd166	3
nd282	3
nd283	3
nd205	18
nd72	3
nd118	3
nd148	3
nd252	15
nd253	3
nd314	3
nd315	15
nd110	3
nd262	3
nd263	3
nd219	3
nd366	3
nd367	3
